name,fee
zrx,26.31
Act,0.1
Att,635.05
rep,0.99
Bal,1.03
bnb,0.01
Btc,0.0005
Bch,0.001
Btt,100
blz,110.09
ada,1
clock,0.1
Comp,0.0699
Cvt,2252
Dash,0.02
dbc,0.1
Dent,5796
dgb,1
Doge,2
Efx,1
Etn,5
EOS,0.01
eosDAC,1
EOS,0.5%
Sylo,4523
Matic,21
link,0.99
Eth,0.00820395
Etc,0.1
Fet,34.95
Fun,1329
Gas,0
Glm,53.45
grs,0.1
icx,0.1
ixt,1039.16
kmd,0.1
let,4199.05
ltc,0.01
lsk,0.3
old,222.68
lrc,55.55
xmr,0.02
NEM,1
Nexo,16.6
ncash,10661
nrg,0.1
ODE,1743.68
ogm,2.93
ont,1
soul,1
part,0.01
pxc,50
poly,39.6
powr,64.3
npxs,15.8883
qlc,0.1
Qtum,0.01
qkc,1262.29
rfr,3374
rwq,121.1
xrp,0.1
sero,0.5
sc,1
sky,0.1
xlm,0.01
stmx,823.02,
sub,7620.49,
tusd,25.64,
tel,1470,
Trx,5,
vet,100,
xvg,2,
wpr,3165.5,
wan,0.01,
Waves,0.01,
Zebi,10,
zil,1,
rfuel,434.08,
om,94.47,
oro,352.93,
bnt,6.86,
Aave,0.0809,
bat,37.42,
snx,2.3,
uni,1.14,
yfi,0.000828,
yfii,0.006,
wbtc,0.00085731,
cas,1,
Sprink,205.76,
POC,0.1,
pcnt,222.68,
chr,86.2,
icp,0.05,
shib,3458037,
rune,3.12,
ava,0.1,
chz,0.01,
win,400,
FTX,0.4627,
mkr,0.01,
sol,0.01,
mana,34.639,
crv,9.798,
sand,37.127,
enj,17.61,
grt,33.88,
Orbs,320.4878,
kai,501.837,
foho,274.3376,
Dai,26.7212
crpt,188.0742


